[DEBUG] 2018-11-01 16:00:34.386 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@7e469a18
[DEBUG] 2018-11-01 16:00:34.392 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@21ec0832
[DEBUG] 2018-11-01 16:00:34.392 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@21ec0832
[DEBUG] 2018-11-01 16:00:34.392 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@7cf8c170
[DEBUG] 2018-11-01 16:00:34.397 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@41f82cb1
[DEBUG] 2018-11-01 16:00:34.397 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@41f82cb1
[DEBUG] 2018-11-01 16:00:34.400 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@81a3fdf
[DEBUG] 2018-11-01 16:00:34.400 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@81a3fdf
[DEBUG] 2018-11-01 16:00:34.401 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@221daf79
[DEBUG] 2018-11-01 16:00:34.401 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@23cf410
[DEBUG] 2018-11-01 16:00:34.404 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@7e6259d7
[DEBUG] 2018-11-01 16:00:34.407 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@210a726d
[DEBUG] 2018-11-01 16:00:34.407 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@210a726d
[DEBUG] 2018-11-01 16:00:34.408 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@52bce56b
[DEBUG] 2018-11-01 16:00:34.408 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@20576c4b
[DEBUG] 2018-11-01 16:00:34.408 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@2e3228a2
[DEBUG] 2018-11-01 16:00:34.408 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@17f6df8c
[DEBUG] 2018-11-01 16:00:34.408 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@22d4e7a4
[DEBUG] 2018-11-01 16:00:34.408 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@397ae281
[DEBUG] 2018-11-01 16:00:34.409 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6b2ba34
[DEBUG] 2018-11-01 16:00:34.409 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@27990fd1
[INFO ] 2018-11-01 16:00:34.428 [http-nio-8080-exec-4] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/indieProject
[INFO ] 2018-11-01 16:00:34.432 [http-nio-8080-exec-4] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-11-01 16:00:34.432 [http-nio-8080-exec-4] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-11-01 16:00:34.848 [http-nio-8080-exec-4] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2018-11-01 16:01:05.991 [http-nio-8080-exec-4] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
