[DEBUG] 2018-10-13 13:46:58.384 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@31b32e13
[DEBUG] 2018-10-13 13:46:58.386 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@155af4dd
[DEBUG] 2018-10-13 13:46:58.386 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@155af4dd
[DEBUG] 2018-10-13 13:46:58.387 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@551a3202
[DEBUG] 2018-10-13 13:46:58.387 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@551a3202
[DEBUG] 2018-10-13 13:46:58.391 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@f150398
[DEBUG] 2018-10-13 13:46:58.391 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@f150398
[DEBUG] 2018-10-13 13:46:58.392 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@7648ca71
[DEBUG] 2018-10-13 13:46:58.392 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@7648ca71
[DEBUG] 2018-10-13 13:46:58.393 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@595f2775
[DEBUG] 2018-10-13 13:46:58.393 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@595f2775
[DEBUG] 2018-10-13 13:46:58.394 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@56bd3428
[DEBUG] 2018-10-13 13:46:58.395 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@4acd1210
[DEBUG] 2018-10-13 13:46:58.395 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@4acd1210
[DEBUG] 2018-10-13 13:46:58.395 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@4acd1210
[DEBUG] 2018-10-13 13:46:58.396 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1f97df3d
[DEBUG] 2018-10-13 13:46:58.396 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1f97df3d
[DEBUG] 2018-10-13 13:46:58.396 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1f97df3d
[DEBUG] 2018-10-13 13:46:58.397 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@493aec13
[DEBUG] 2018-10-13 13:46:58.398 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@4df54455
[DEBUG] 2018-10-13 13:46:58.399 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@626d7d74
[DEBUG] 2018-10-13 13:46:58.399 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@626d7d74
[DEBUG] 2018-10-13 13:46:58.399 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@626d7d74
[DEBUG] 2018-10-13 13:46:58.400 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@7f18f870
[DEBUG] 2018-10-13 13:46:58.400 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@7f18f870
[DEBUG] 2018-10-13 13:46:58.400 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@7f18f870
[DEBUG] 2018-10-13 13:46:58.402 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@43db2165
[DEBUG] 2018-10-13 13:46:58.402 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@1bb5b0ab
[DEBUG] 2018-10-13 13:46:58.409 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@f1e9248
[DEBUG] 2018-10-13 13:46:58.409 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@f1e9248
[DEBUG] 2018-10-13 13:46:58.409 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@7d560829
[DEBUG] 2018-10-13 13:46:58.413 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@39571f2e
[DEBUG] 2018-10-13 13:46:58.413 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@39571f2e
[DEBUG] 2018-10-13 13:46:58.419 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@33500573
[DEBUG] 2018-10-13 13:46:58.419 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@33500573
[DEBUG] 2018-10-13 13:46:58.419 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@46362c69
[DEBUG] 2018-10-13 13:46:58.420 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2352eb9
[DEBUG] 2018-10-13 13:46:58.421 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@5eceb6da
[DEBUG] 2018-10-13 13:46:58.426 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6eca96a3
[DEBUG] 2018-10-13 13:46:58.426 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6eca96a3
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@2eca7679
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@148f928d
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@3d53025
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@7db2fc0f
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@36347e
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@68c5c50f
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@42bb842a
[DEBUG] 2018-10-13 13:46:58.427 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@28035af6
[INFO ] 2018-10-13 13:46:58.445 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/indieProject
[INFO ] 2018-10-13 13:46:58.445 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-10-13 13:46:58.445 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-10-13 13:46:58.796 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2018-10-13 13:47:29.826 [http-nio-8080-exec-1] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
